subject,questionnaire,word,sound,vowel_type,short_long,trial,F1,F2,duration
SM,q1,lavʒ,a,a,short,2,787.1017750341236,1680.6957144355868,0.19136113969187818
MF,q1,kāl,a:,a,long,2,616.5303206759264,1340.2950775775407,0.1909321132061308
MF,q1,žīr,i:,i,long,2,388.2373564520636,2366.105792304505,0.19022255475431393
MF,q1,gārm,a:,a,long,2,604.6640964749577,1488.8029332830474,0.18804069859811534
LT,q1,siʒ,i,i,short,2,473.73824419617677,2124.692226156433,0.18483236018376203
SM,q3,ča:lak,a:,a,long,2,683.8356078462742,1610.2343109052258,0.18070594758370007
SM,q1,mūn,u:,u,long,2,260.57449070257843,761.8142788386755,0.17967254966561086
SM,q1,wax̌t,a,a,short,2,726.0083479760627,1429.9942763293943,0.17945777289796894
SM,q1,čux̌,u,u,short,2,479.641893492215,881.5355187661851,0.1784170953959574
LT,q1,sūr,u:,u,long,4,345.7706588388708,948.7437794759198,0.26346885374010753
LT,q1,nay,a,a,short,2,769.4293209317287,1793.399481765802,0.17467003674488524
LT,q1,sūr,u:,u,long,3,371.11948102304945,937.166766064663,0.24184532533598713
MF,q3,bu:n,u:,u,long,2,390.69242304129006,1025.024698270689,0.17211523259199524
SM,q1,nīst,i:,i,long,2,325.5309618904601,2374.0842244779874,0.1704800682930454
LT,q1,lavʒ,a,a,short,2,756.9196738913458,1549.9100558149364,0.1651012351695158
MF,q1,vīrt,i:,i,long,2,414.8519913050796,2340.4476414710944,0.16432409827410766
MF,q1,čūrð,u:,u,long,2,371.91483900584694,1041.0251177504165,0.16311014250851485
LT,q1,pāst,a:,a,long,2,702.6417926107498,1428.8937274593632,0.16166794300119136
LT,q1,čūrd,u:,u,long,3,348.14163710813943,913.0676897444539,0.2070821166314829
SM,q1,nay,a,a,short,2,828.8096540694054,1888.7798788934115,0.1572026995299609
MF,q1,mūn,u:,u,long,2,299.30902797620803,843.5168984246637,0.15637486591242578
MF,q1,xūrn,u:,u,long,2,352.6822794086137,865.2674101816608,0.15591617368363586
LT,q1,kal,a,a,short,2,699.9803927119586,1408.2273754567768,0.15360337936141377
LT,q1,vīrt,i:,i,long,2,379.7315223733494,2538.2726260279355,0.15345142747958107
MF,q3,ča:lak,a:,a,long,2,647.6471926626609,1228.44643669242,0.15204886845909016
MF,q1,māš,a:,a,long,2,623.7995081758115,1323.5834814218565,0.15134843405260767
LT,q1,vūɣd,u:,u,long,3,389.171627759535,897.3270989793259,0.17490916771345155
SM,q1,čax̌,a,a,short,2,702.3550738538127,1776.2474812395174,0.14460959694983444
MF,q1,tāt,a:,a,long,2,656.2704745204862,1513.8225825981096,0.14263617024812447
MF,q1,wūrj,u:,u,long,2,355.3085938107752,1009.2704257887924,0.1412687730150637
MF,q1,pāst,a:,a,long,2,636.2384983139871,1451.7229734884127,0.14045471149484
MF,q1,ziv,i,i,short,2,482.0871444422106,1875.2048077884542,0.1403586804402721
LT,q1,tāt,a:,a,long,2,754.0266529431062,1472.3056661742921,0.13956805102208136
SM,q1,wūrj,u:,u,long,2,377.5667302778077,858.7755630781578,0.13932663829680791
LT,q1,x̌irn,i,i,short,2,408.93726476852146,2738.5209350592963,0.13657853525444352
LT,q1,wax̌t,a,a,short,2,785.508002857575,1520.8712662842752,0.1350137340065416
SM,q1,siʒ,i,i,short,2,518.4133998007273,2319.966641933657,0.13455012019304036
MF,q1,lavʒ,a,a,short,2,643.2970470078961,1415.6441764670255,0.13274279665154154
MF,q1,ðud,u,u,short,2,418.00676321941785,762.9277692775484,0.132119952780954
MF,q1,tīzd,i:,i,long,2,384.0279922580095,2569.300446338106,0.12922140334475785
SM,q3,bu:n,u:,u,long,2,447.39284290432977,735.5845463969875,0.12902118073112234
MF,q3,ka:l,a:,a,long,2,700.0733900147249,1417.045103688054,0.1285722449949489
MF,q1,kal,a,a,short,2,688.515047148138,1621.8238241048716,0.12679665420495212
MF,q1,čīd,i:,i,long,2,361.14158694999935,2584.1600478512523,0.12540914709610718
LT,q1,ziv,i,i,short,2,474.1086418171004,1901.9047825359503,0.12521563694889437
MF,q3,cīx̌,i:,i,long,2,353.48507978561463,2446.5752124510987,0.12452772943521495
SM,q3,kal,a,a,short,2,729.976717963963,1800.6284642125786,0.12164095798884222
MF,q3,kūdak,u:,u,long,2,338.91455376173064,854.6257174147328,0.12056756175253724
SM,q1,xist,i,i,short,2,502.55068462486855,2673.266285424409,0.12048025769718151
MF,q3,kal,a,a,short,2,719.8532024878887,1660.5634689870406,0.12036020538716485
MF,q1,žarn,a,a,short,2,581.3261899513656,1771.2257252952807,0.11937722047483135
SM,q1,ðust,u,u,short,2,335.8919655103151,647.0414706153638,0.11774891230595586
MF,q1,x̌ūʒ,u:,u,long,2,294.328202525436,1251.5538792033992,0.11406619184845912
SM,q3,bun,u,u,short,2,500.3084339708005,1159.513281696523,0.11334010722471533
SM,q1,хаx̌,a,a,short,2,822.258448937668,1811.2960021629608,0.11291128322878308
SM,q1,puc,u,u,short,2,385.07277322036754,640.5955022050298,0.11119673192104074
LT,q1,wūrj,u:,u,long,3,382.5771581214774,909.5917797277093,0.16726982701961646
SM,q1,piš,i,i,short,2,490.98355144451176,2494.4705245729706,0.10684068827009696
LT,q1,nīst,i:,i,long,2,421.19858443725957,2812.3512991738576,0.1031544453138622
SM,q1,tux̌p,u,u,short,2,462.3524410089578,886.8661481631699,0.10262682395534739
MF,q1,nīst,i:,i,long,2,436.48051901122653,2214.3018702629247,0.10163693519757544
MF,q3,cix̌,i,i,short,2,405.45768830821174,2248.794017333189,0.09956789931220555
MF,q1,nay,a,a,short,2,642.3935296479849,1738.5364246337883,0.09949883956585381
LT,q1,mūn,u:,u,long,3,260.5382536268255,884.2168299212619,0.15718057301529598
SM,q3,kūdak,u:,u,long,2,396.56392191723313,722.0224144194756,0.09548964227055023
MF,q1,x̌irn,i,i,short,2,480.3759819247955,2112.9014483048113,0.09454977388992347
MF,q1,wax̌t,a,a,short,2,523.5045216328423,1231.3089259139263,0.0932508255906015
SM,q3,čalak,a,a,short,2,694.6182707109222,1903.4062722596327,0.09202152456997226
MF,q1,siʒ,i,i,short,2,465.0038671050009,2144.3289259206313,0.08861827777982967
LT,q1,x̌ūʒ,u:,u,long,3,311.1759619386088,822.9426738696478,0.1310211439182627
MF,q1,čax̌,a,a,short,2,633.7034521444583,1679.1389525607997,0.08705908817404406
LT,q1,xūrn,u:,u,long,3,393.57430466853526,854.2782717486639,0.13069875207543902
LT,q1,čax̌,a,a,short,2,836.954259382616,1556.912444910205,0.08484479563963987
MF,q3,čalak,a,a,short,2,693.5827542192061,1755.819692955853,0.08332270136541808
MF,q1,хаx̌,a,a,short,2,666.6511661815379,1457.7938271205328,0.08193953140255417
LT,q1,sūr,u:,u,long,2,354.3348893716083,973.368040916987,0.24595348031652975
SM,q3,cix̌,i,i,short,2,431.59560623132074,2427.8260811018204,0.08014024597032687
LT,q1,piš,i,i,short,2,498.791115720005,2110.8797294630936,0.0767277124032546
MF,q1,ðust,u,u,short,2,535.7288461828674,1498.4996003900444,0.07000807621818694
MF,q3,bun,u,u,short,2,417.18414912520285,718.752787204486,0.06991713780934106
MF,q1,čux̌,u,u,short,2,453.62873056813186,1142.5682038502725,0.0685961865367517
MF,q1,tux̌p,u,u,short,2,434.38087819392877,1080.5397621052314,0.06526990078177164
LT,q1,xist,i,i,short,2,548.8687832038443,2093.510872748715,0.06440836943676231
MF,q3,kudak,u,u,short,2,459.8361827149926,624.4385472057738,0.06390021877118102
MF,q1,puc,u,u,short,2,494.1580764579872,1295.5770928807449,0.06203071209046129
MF,q1,piš,i,i,short,2,443.5110642692416,2235.742151219373,0.059083216987232845
MF,q1,xist,i,i,short,2,513.3391382563137,2087.868788041906,0.058036479331349256
SM,q3,kudbuc,u,u,short,2,440.6661563148061,638.609981429713,0.05785319281291379
SM,q3,x̌ār,a:,a,long,1,678.08377155977,1387.8270004593028,0.3322579252451803
SM,q1,sūr,u:,u,long,1,385.0455549604911,854.2975095081899,0.32432906547961693
LT,q1,gārm,a:,a,long,1,697.9678676471375,1605.1552173959733,0.3237099014681917
SM,q1,xīr,i:,i,long,1,350.27194164098194,1868.218461049652,0.2858054339814089
SM,q1,vīrt,i:,i,long,1,385.65748273018505,2509.5298771105386,0.2745454921084445
SM,q1,žarn,a,a,short,1,779.7374456144364,1866.7718708124996,0.256477338305956
LT,q1,xīr,i:,i,long,1,349.6728517892603,2628.026879395635,0.25625155374893893
LT,q1,čūrd,u:,u,long,2,359.9271328212442,1001.137224896448,0.23856373401039832
LT,q1,vūɣd,u:,u,long,2,351.29591269788267,879.8449084993155,0.20148190914675013
SM,q1,nay,a,a,short,1,845.141402195309,1795.9879976506622,0.24659246985089567
SM,q1,gārm,a:,a,long,1,748.2936588606741,1652.2830742738245,0.24378303802723167
LT,q1,čīd,i:,i,long,1,308.17808489694664,2543.864931766102,0.23973470287424448
SM,q1,māš,a:,a,long,1,817.0424883238803,1561.1950604483832,0.2389799614844037
LT,q1,žīr,i:,i,long,1,344.2965722813598,2545.4904718462467,0.23788146594210957
SM,q1,žīr,i:,i,long,1,410.18468210857304,2457.7258579716167,0.23755679987492329
SM,q1,kāl,a:,a,long,1,842.0286609377612,1474.261512940635,0.23672941343630782
SM,q3,x̌ar,a,a,short,1,704.0007123815562,1525.165667287355,0.2353115925882605
MF,q1,xīr,i:,i,long,1,418.856033319522,2415.852082214896,0.23190836162984851
SM,q1,lavʒ,a,a,short,1,834.6718413518647,1666.7743429547654,0.23156931690346028
LT,q1,mūn,u:,u,long,2,273.08476720556,895.4446142930311,0.19839258422621242
SM,q1,čūrð,u:,u,long,1,357.26736273812946,823.5073377807377,0.22694903160251556
MF,q1,sūr,u:,u,long,1,351.73442792752195,1035.2325029837266,0.22683802277720133
SM,q1,čīd,i:,i,long,1,395.77268391681537,2713.163420368133,0.2259019149034458
LT,q1,tīzd,i:,i,long,1,311.4614296293239,2603.0790740382326,0.2228007804351364
LT,q1,x̌ūʒ,u:,u,long,2,294.8889306607147,871.9543898716477,0.1721962706494704
SM,q3,cīx̌,i:,i,long,1,390.82336434759065,2741.539336067233,0.22167513774640213
SM,q1,tāt,a:,a,long,1,833.9798280104657,1770.5285934728724,0.22145517431320627
LT,q1,wūrj,u:,u,long,2,280.79667314497715,830.740625546274,0.16108380814009848
SM,q1,kal,a,a,short,1,859.0510103328703,1754.4814980306064,0.21637306557505553
LT,q1,xūrn,u:,u,long,2,384.0302480506675,887.1020031803214,0.1465098613846294
SM,q1,ziv,i,i,short,1,410.6210346825554,2404.5110188564386,0.21526499942052624
LT,q1,pāst,a:,a,long,1,760.9817245183525,1463.6828870789436,0.21406713409817257
SM,q1,pāst,a:,a,long,1,828.9959479264558,1685.8453812482412,0.2139931702024569
LT,q1,žarn,a,a,short,1,703.0231316276953,1614.4333690398616,0.2124875672999167
MF,q1,gārm,a:,a,long,1,625.7910006664356,1411.8186722258085,0.21178093924379482
MF,q1,žīr,i:,i,long,1,394.0589603957005,2336.41226784524,0.20644767179175005
LT,q1,lavʒ,a,a,short,1,767.657359116216,1532.4905727543244,0.20582794644906244
SM,q1,mūn,u:,u,long,1,365.15925207384373,771.3663525462638,0.20508532968335658
MF,q1,tīzd,i:,i,long,1,356.23448204560486,2495.316106638867,0.19988136639031495
MF,q1,čūrð,u:,u,long,1,360.75384002423857,1026.4006236489868,0.19653070134233985
MF,q1,kāl,a:,a,long,1,645.2802908930771,1454.8525739622955,0.19603465390561325
SM,q1,tīzd,i:,i,long,1,389.75715795490913,2787.643145878369,0.19368519646810967
LT,q1,nay,a,a,short,1,811.68594845383,1730.8051880418868,0.19172891249826307
MF,q1,wūrj,u:,u,long,1,339.0569763386395,990.665795851637,0.19062375136836707
MF,q3,bu:n,u:,u,long,1,324.14934139919745,942.2249592406761,0.1896803805069105
LT,q1,sūr,u:,u,long,1,299.8913922099231,980.4074097844621,0.2524423195876011
SM,q3,ča:lak,a:,a,long,1,728.2195239000995,1600.7218406417408,0.18626386648909588
LT,q1,māš,a:,a,long,1,759.3070876209257,1467.1880555043344,0.18291970482778197
SM,q1,ðud,u,u,short,1,477.40868887793886,753.0104388280402,0.17837910345360797
MF,q1,māš,a:,a,long,1,585.2831994339192,1302.066041645714,0.17551849221490556
SM,q1,x̌irn,i,i,short,1,544.8037179561268,2374.968338645343,0.17220194923141463
LT,q1,vīrt,i:,i,long,1,342.1651388000718,2518.161882424367,0.16944335106518338
LT,q1,tāt,a:,a,long,1,794.9015040679269,1521.4485968328634,0.16906916706835773
MF,q1,xūrn,u:,u,long,1,342.54524867117533,955.094293736612,0.16705141329791928
